club_decade_id,team_id,team_name,decade,players_count,avg_global_rating,max_global_rating,avg_local_rating,max_local_rating,is_mvp_eligible
9007_arsenal_kyiv__2019_2000s,9007,Arsenal Kyiv ( -2019),2000s,45,51.57272727272727,57.5,59.37954545454545,95.0,True
9007_arsenal_kyiv__2019_2010s,9007,Arsenal Kyiv ( -2019),2010s,76,51.1671052631579,59.9,55.28684210526316,95.0,True
3593_borysfen_boryspil__2007_2000s,3593,Borysfen Boryspil (- 2007),2000s,13,50.7,51.4,71.43636363636364,95.0,True
6992_chornomorets_odesa_1990s,6992,Chornomorets Odesa,1990s,20,51.449999999999996,54.1,65.97142857142858,95.0,True
6992_chornomorets_odesa_2000s,6992,Chornomorets Odesa,2000s,30,51.056000000000004,58.4,55.61600000000001,95.0,True
6992_chornomorets_odesa_2010s,6992,Chornomorets Odesa,2010s,70,51.22615384615384,54.6,61.793846153846154,95.0,True
6992_chornomorets_odesa_2020s,6992,Chornomorets Odesa,2020s,105,50.764761904761905,55.0,56.80285714285714,95.0,True
16239_desna_chernigiv_2010s,16239,Desna Chernigiv,2010s,34,51.390625,58.2,57.584375,95.0,True
16239_desna_chernigiv_2020s,16239,Desna Chernigiv,2020s,39,51.02820512820513,56.1,57.48205128205129,95.0,True
339_dnipro_dnipropetrovsk_1990s,339,Dnipro Dnipropetrovsk,1990s,23,51.5,57.3,59.24347826086956,95.0,True
339_dnipro_dnipropetrovsk_2000s,339,Dnipro Dnipropetrovsk,2000s,34,52.379411764705885,60.0,60.7,95.0,True
339_dnipro_dnipropetrovsk__2020_2000s,339,Dnipro Dnipropetrovsk (- 2020),2000s,60,51.90333333333333,67.8,54.80333333333333,95.0,True
339_dnipro_dnipropetrovsk__2020_2010s,339,Dnipro Dnipropetrovsk (- 2020),2010s,73,52.42535211267605,71.1,55.157746478873236,95.0,True
338_dynamo_kyiv_1990s,338,Dynamo Kyiv,1990s,27,53.88235294117647,73.2,57.51176470588236,95.0,True
338_dynamo_kyiv_2000s,338,Dynamo Kyiv,2000s,73,52.885,87.5,53.46,95.0,True
338_dynamo_kyiv_2010s,338,Dynamo Kyiv,2010s,91,52.870588235294115,95.0,52.870588235294115,95.0,True
338_dynamo_kyiv_2020s,338,Dynamo Kyiv,2020s,46,51.879999999999995,69.1,54.39777777777778,95.0,True
84122_epicentr_kamyanets_podilskyi_2020s,84122,Epicentr Kamyanets-Podilskyi,2020s,24,50.21666666666667,50.5,68.53750000000001,95.0,True
87883_fc_kudrivka_2020s,87883,FC Kudrivka,2020s,13,50.315384615384616,50.8,66.78461538461539,95.0,True
6993_fc_mariupol_2010s,6993,FC Mariupol,2010s,51,51.30980392156863,55.7,60.32941176470589,95.0,True
