player_name,club_name,decade,position,season,season_club,season_appearances,season_goals,season_assists,season_clean_sheets,season_minutes_played,season_source_name,season_source_url,season_confidence,season_notes
Sergey Polstyanov,Tavriya Simferopol,1990s,FW,1992/93,Tavriya Simferopol,,1,,,,Supplied candidate source / club spell evidence,https://www.transfermarkt.com/sk-tavriya-simferopol/startseite/verein/2227/saison_id/1992 ; https://www.allplayers.in.ua/ua/club_legioner/7,Medium,Single-season club spell 1992/93; sourced club-total goals fall entirely inside this one season/decade. Other season-level stats unavailable in supplied evidence.
Oleksandr Shovkovskyi,Dynamo Kyiv,1990s,GK,1993/94,Dynamo Kyiv,,0,,,,Supplied candidate source / club spell evidence,https://www.allplayers.in.ua/ua/team_players/1,Medium,Season scaffold derived from exact club spell 1993/94-2016/17. Season goals set to 0 because sourced club-total goals for this club are 0; no season-level assists/clean sheets/minutes found in supplied evidence.
Oleksandr Shovkovskyi,Dynamo Kyiv,1990s,GK,1994/95,Dynamo Kyiv,,0,,,,Supplied candidate source / club spell evidence,https://www.allplayers.in.ua/ua/team_players/1,Medium,Season scaffold derived from exact club spell 1993/94-2016/17. Season goals set to 0 because sourced club-total goals for this club are 0; no season-level assists/clean sheets/minutes found in supplied evidence.
Oleksandr Shovkovskyi,Dynamo Kyiv,1990s,GK,1995/96,Dynamo Kyiv,,0,,,,Supplied candidate source / club spell evidence,https://www.allplayers.in.ua/ua/team_players/1,Medium,Season scaffold derived from exact club spell 1993/94-2016/17. Season goals set to 0 because sourced club-total goals for this club are 0; no season-level assists/clean sheets/minutes found in supplied evidence.
Oleksandr Shovkovskyi,Dynamo Kyiv,1990s,GK,1996/97,Dynamo Kyiv,,0,,,,Supplied candidate source / club spell evidence,https://www.allplayers.in.ua/ua/team_players/1,Medium,Season scaffold derived from exact club spell 1993/94-2016/17. Season goals set to 0 because sourced club-total goals for this club are 0; no season-level assists/clean sheets/minutes found in supplied evidence.
Oleksandr Shovkovskyi,Dynamo Kyiv,1990s,GK,1997/98,Dynamo Kyiv,,0,,,,Supplied candidate source / club spell evidence,https://www.allplayers.in.ua/ua/team_players/1,Medium,Season scaffold derived from exact club spell 1993/94-2016/17. Season goals set to 0 because sourced club-total goals for this club are 0; no season-level assists/clean sheets/minutes found in supplied evidence.
Oleksandr Shovkovskyi,Dynamo Kyiv,1990s,GK,1998/99,Dynamo Kyiv,,0,,,,Supplied candidate source / club spell evidence,https://www.allplayers.in.ua/ua/team_players/1,Medium,Season scaffold derived from exact club spell 1993/94-2016/17. Season goals set to 0 because sourced club-total goals for this club are 0; no season-level assists/clean sheets/minutes found in supplied evidence.
Oleksandr Shovkovskyi,Dynamo Kyiv,1990s,GK,1999/00,Dynamo Kyiv,,0,,,,Supplied candidate source / club spell evidence,https://www.allplayers.in.ua/ua/team_players/1,Medium,Season scaffold derived from exact club spell 1993/94-2016/17. Season goals set to 0 because sourced club-total goals for this club are 0; no season-level assists/clean sheets/minutes found in supplied evidence.
Oleksandr Shovkovskyi,Dynamo Kyiv,2000s,GK,2000/01,Dynamo Kyiv,,0,,,,Supplied candidate source / club spell evidence,https://www.allplayers.in.ua/ua/team_players/1,Medium,Season scaffold derived from exact club spell 1993/94-2016/17. Season goals set to 0 because sourced club-total goals for this club are 0; no season-level assists/clean sheets/minutes found in supplied evidence.
Oleksandr Shovkovskyi,Dynamo Kyiv,2000s,GK,2001/02,Dynamo Kyiv,,0,,,,Supplied candidate source / club spell evidence,https://www.allplayers.in.ua/ua/team_players/1,Medium,Season scaffold derived from exact club spell 1993/94-2016/17. Season goals set to 0 because sourced club-total goals for this club are 0; no season-level assists/clean sheets/minutes found in supplied evidence.
Oleksandr Shovkovskyi,Dynamo Kyiv,2000s,GK,2002/03,Dynamo Kyiv,,0,,,,Supplied candidate source / club spell evidence,https://www.allplayers.in.ua/ua/team_players/1,Medium,Season scaffold derived from exact club spell 1993/94-2016/17. Season goals set to 0 because sourced club-total goals for this club are 0; no season-level assists/clean sheets/minutes found in supplied evidence.
Oleksandr Shovkovskyi,Dynamo Kyiv,2000s,GK,2003/04,Dynamo Kyiv,,0,,,,Supplied candidate source / club spell evidence,https://www.allplayers.in.ua/ua/team_players/1,Medium,Season scaffold derived from exact club spell 1993/94-2016/17. Season goals set to 0 because sourced club-total goals for this club are 0; no season-level assists/clean sheets/minutes found in supplied evidence.
Oleksandr Shovkovskyi,Dynamo Kyiv,2000s,GK,2004/05,Dynamo Kyiv,,0,,,,Supplied candidate source / club spell evidence,https://www.allplayers.in.ua/ua/team_players/1,Medium,Season scaffold derived from exact club spell 1993/94-2016/17. Season goals set to 0 because sourced club-total goals for this club are 0; no season-level assists/clean sheets/minutes found in supplied evidence.
Oleksandr Shovkovskyi,Dynamo Kyiv,2000s,GK,2005/06,Dynamo Kyiv,,0,,,,Supplied candidate source / club spell evidence,https://www.allplayers.in.ua/ua/team_players/1,Medium,Season scaffold derived from exact club spell 1993/94-2016/17. Season goals set to 0 because sourced club-total goals for this club are 0; no season-level assists/clean sheets/minutes found in supplied evidence.
Oleksandr Shovkovskyi,Dynamo Kyiv,2000s,GK,2006/07,Dynamo Kyiv,,0,,,,Supplied candidate source / club spell evidence,https://www.allplayers.in.ua/ua/team_players/1,Medium,Season scaffold derived from exact club spell 1993/94-2016/17. Season goals set to 0 because sourced club-total goals for this club are 0; no season-level assists/clean sheets/minutes found in supplied evidence.
Oleksandr Shovkovskyi,Dynamo Kyiv,2000s,GK,2007/08,Dynamo Kyiv,,0,,,,Supplied candidate source / club spell evidence,https://www.allplayers.in.ua/ua/team_players/1,Medium,Season scaffold derived from exact club spell 1993/94-2016/17. Season goals set to 0 because sourced club-total goals for this club are 0; no season-level assists/clean sheets/minutes found in supplied evidence.
Oleksandr Shovkovskyi,Dynamo Kyiv,2000s,GK,2008/09,Dynamo Kyiv,,0,,,,Supplied candidate source / club spell evidence,https://www.allplayers.in.ua/ua/team_players/1,Medium,Season scaffold derived from exact club spell 1993/94-2016/17. Season goals set to 0 because sourced club-total goals for this club are 0; no season-level assists/clean sheets/minutes found in supplied evidence.
Oleksandr Shovkovskyi,Dynamo Kyiv,2000s,GK,2009/10,Dynamo Kyiv,,0,,,,Supplied candidate source / club spell evidence,https://www.allplayers.in.ua/ua/team_players/1,Medium,Season scaffold derived from exact club spell 1993/94-2016/17. Season goals set to 0 because sourced club-total goals for this club are 0; no season-level assists/clean sheets/minutes found in supplied evidence.
